category,parameter,value,unit,game_note,source_name,source_url
Definition,'Lunar dust' = regolith fraction below,20,micrometres,,NASA NTRS - Lunar Dust: Characterization and Mitigation,https://ntrs.nasa.gov/api/citations/20080005580/downloads/20080005580.pdf
Definition,Respirable fraction (in 1 g),<10,micrometres,May be larger in 1/6 g,NASA NTRS - Lunar Dust: Characterization and Mitigation,https://ntrs.nasa.gov/api/citations/20080005580/downloads/20080005580.pdf
Particle size,Average particle size,72,micrometres,,NASA NTRS - The Challenge of Lunar Dust (K. John),https://ntrs.nasa.gov/api/citations/20220008062/downloads/The%20Challenge%20of%20Lunar%20Dust%20-%20v4.pdf
Particle size,Regolith by weight finer than 50 um,50,%,,NASA NTRS - The Challenge of Lunar Dust (K. John),https://ntrs.nasa.gov/api/citations/20220008062/downloads/The%20Challenge%20of%20Lunar%20Dust%20-%20v4.pdf
Particle size,Regolith by weight finer than 20 um,20,%,,NASA NTRS - The Challenge of Lunar Dust (K. John),https://ntrs.nasa.gov/api/citations/20220008062/downloads/The%20Challenge%20of%20Lunar%20Dust%20-%20v4.pdf
Particle size,Regolith by weight finer than 1 um,1,%,,NASA NTRS - The Challenge of Lunar Dust (K. John),https://ntrs.nasa.gov/api/citations/20220008062/downloads/The%20Challenge%20of%20Lunar%20Dust%20-%20v4.pdf
Particle size,Median particle size range,40-130,micrometres,Average ~70 um (consistent with 72 above),NASA NTRS - Engineering Guide to Lunar Geotechnical Properties,https://ntrs.nasa.gov/api/citations/20220014634/downloads/Final%20IEEE%20paper%20formatted%20footnote%20added.pdf
Physical,Bulk density at surface,1.30,g/cm^3,,NASA NTRS - Engineering Guide to Lunar Geotechnical Properties,https://ntrs.nasa.gov/api/citations/20220014634/downloads/Final%20IEEE%20paper%20formatted%20footnote%20added.pdf
Physical,Bulk density at 10 cm,1.52,g/cm^3,,NASA NTRS - Engineering Guide to Lunar Geotechnical Properties,https://ntrs.nasa.gov/api/citations/20220014634/downloads/Final%20IEEE%20paper%20formatted%20footnote%20added.pdf
Physical,Bulk density at 100 cm,1.83,g/cm^3,Approaches 1.92 deeper,NASA NTRS - Engineering Guide to Lunar Geotechnical Properties,https://ntrs.nasa.gov/api/citations/20220014634/downloads/Final%20IEEE%20paper%20formatted%20footnote%20added.pdf
Physical,Specific gravity of particles (average),3.1,-,Range 2.3 to >3.2,NASA NTRS - Engineering Guide to Lunar Geotechnical Properties,https://ntrs.nasa.gov/api/citations/20220014634/downloads/Final%20IEEE%20paper%20formatted%20footnote%20added.pdf
Physical,Porosity (surface to depth),65 -> <40,%,,NASA NTRS - Engineering Guide to Lunar Geotechnical Properties,https://ntrs.nasa.gov/api/citations/20220014634/downloads/Final%20IEEE%20paper%20formatted%20footnote%20added.pdf
Physical,Friction angle,30-50,deg,Up to ~55 deg within top 1 m; rover traction,NASA NTRS - Engineering Guide to Lunar Geotechnical Properties,https://ntrs.nasa.gov/api/citations/20220014634/downloads/Final%20IEEE%20paper%20formatted%20footnote%20added.pdf
Physical,Regolith thickness (global),~1 to tens of,m,,NASA NTRS - Lunar Dust: Characterization and Mitigation,https://ntrs.nasa.gov/api/citations/20080005580/downloads/20080005580.pdf
Shape,Particle shape,"Sharp, glass-like",-,Abrasive to suits and seals,NASA Science - Hazards of Lunar Regolith,https://science.nasa.gov/biological-physical/what-hazards-are-caused-by-lunar-regolith/
Electrostatics,Charging,Charged by solar radiation; clings to surfaces,-,,NASA Science - Hazards of Lunar Regolith,https://science.nasa.gov/biological-physical/what-hazards-are-caused-by-lunar-regolith/
Electrostatics,"Charge-to-mass, 20-25 um SIMULANT (JSC-1A)",-321.15,nC/g,"LAB SIMULANT, not real Moon dust",NASA NTRS - The Challenge of Lunar Dust (K. John),https://ntrs.nasa.gov/api/citations/20220008062/downloads/The%20Challenge%20of%20Lunar%20Dust%20-%20v4.pdf
Electrostatics,"Charge-to-mass, 75-90 um SIMULANT (JSC-1A)",-39.08,nC/g,LAB SIMULANT; smaller grains charge more,NASA NTRS - The Challenge of Lunar Dust (K. John),https://ntrs.nasa.gov/api/citations/20220008062/downloads/The%20Challenge%20of%20Lunar%20Dust%20-%20v4.pdf
Hazard - power,Dust covering that halves solar-cell output,<3,mg/cm^2,Solar panel degradation mechanic,NASA NTRS - The Challenge of Lunar Dust (K. John),https://ntrs.nasa.gov/api/citations/20220008062/downloads/The%20Challenge%20of%20Lunar%20Dust%20-%20v4.pdf
Hazard - health,Apollo crew symptoms,"Sneezing, nasal congestion",-,,NASA Science - Hazards of Lunar Regolith,https://science.nasa.gov/biological-physical/what-hazards-are-caused-by-lunar-regolith/
Hazard - equipment,Apollo 17 (Cernan) dust problem list,False instrument readings; health; clogging of mechanisms; abrasion; vision obscuration; seal failures; thermal control,-,Ready-made list of 7 hazard types for game events,NASA NTRS - The Challenge of Lunar Dust (K. John),https://ntrs.nasa.gov/api/citations/20220008062/downloads/The%20Challenge%20of%20Lunar%20Dust%20-%20v4.pdf
